-50 -63 -57 -55
-56 -70 -64 -61
-55 -69 -62 -60
-45 -59 -53 -51
-49 -61 -54 -54
-49 -57 -46 -52
-52 -54 -44 -52
-55 -56 -45 -55
-57 -56 -45 -56
-58 -55 -43 -57
-60 -55 -47 -59
-61 -54 -50 -59
-61 -53 -53 -60
-63 -53 -54 -61
-63 -54 -56 -62
-64 -53 -57 -62
-48 -64 -58 -55
-55 -72 -65 -62
-54 -71 -64 -61
-46 -61 -53 -53
-49 -64 -54 -56
-50 -59 -47 -53
-52 -58 -46 -53
-56 -57 -46 -56
-58 -57 -46 -57
-59 -55 -47 -55
-61 -53 -49 -57
-61 -52 -51 -59
-60 -50 -52 -60
-61 -51 -54 -60
-62 -51 -56 -61
-62 -51 -57 -62
-48 -63 -57 -55
-55 -72 -65 -62
-55 -71 -64 -60
-46 -63 -55 -52
-49 -65 -55 -55
-50 -60 -48 -52
-51 -59 -44 -54
-56 -58 -47 -55
-58 -58 -48 -56
-62 -54 -50 -54
-61 -52 -51 -56
-61 -50 -52 -58
-58 -46 -53 -58
-60 -49 -54 -60
-61 -49 -56 -61
-61 -51 -57 -62
-49 -63 -57 -55
-57 -71 -63 -60
-57 -71 -62 -59
-49 -61 -53 -49
-51 -64 -56 -53
-52 -59 -50 -49
-53 -58 -49 -50
-55 -59 -50 -51
-57 -58 -50 -52
-57 -55 -49 -53
-59 -52 -51 -55
-60 -50 -52 -57
-59 -48 -53 -58
-60 -47 -54 -60
-61 -47 -56 -61
-61 -47 -57 -62
-51 -62 -54 -53
-58 -70 -62 -58
-58 -70 -61 -56
-52 -59 -52 -47
-54 -64 -57 -50
-52 -59 -50 -46
-53 -59 -51 -45
-54 -59 -51 -49
-56 -58 -51 -50
-56 -55 -50 -49
-58 -54 -51 -54
-59 -52 -52 -56
-58 -47 -52 -60
-60 -46 -54 -60
-61 -46 -55 -61
-64 -43 -57 -61
-51 -60 -55 -51
-58 -69 -62 -55
-59 -69 -60 -53
-53 -59 -53 -43
-55 -63 -57 -48
-54 -58 -50 -44
-54 -58 -50 -46
-55 -59 -52 -49
-55 -58 -51 -51
-57 -56 -51 -50
-58 -54 -51 -54
-59 -52 -52 -56
-58 -48 -52 -58
-61 -47 -54 -61
-62 -46 -56 -62
-62 -46 -57 -63
-50 -59 -56 -48
-54 -62 -54 -46
-56 -62 -52 -43
-55 -58 -50 -39
-57 -60 -53 -45
-56 -58 -51 -44
-56 -57 -52 -48
-56 -58 -53 -50
-56 -58 -52 -52
-55 -56 -51 -53
-58 -55 -52 -55
-60 -53 -52 -56
-61 -49 -52 -59
-61 -50 -54 -61
-61 -50 -57 -63
-61 -49 -58 -65
