-56 -69 -63 -55
-63 -81 -73 -65
-61 -81 -74 -66
-51 -71 -65 -60
-54 -74 -67 -63
-54 -69 -60 -58
-55 -67 -58 -59
-58 -68 -58 -61
-59 -68 -55 -62
-59 -65 -50 -61
-64 -66 -55 -65
-67 -64 -60 -67
-72 -63 -66 -70
-71 -62 -66 -68
-71 -62 -65 -66
-69 -60 -63 -61
-58 -67 -62 -53
-65 -77 -71 -62
-64 -77 -71 -62
-56 -67 -62 -55
-58 -71 -64 -59
-58 -67 -58 -55
-59 -66 -56 -56
-62 -68 -57 -60
-63 -67 -55 -61
-62 -63 -52 -61
-63 -63 -53 -63
-65 -61 -57 -65
-66 -59 -59 -66
-67 -58 -62 -67
-67 -58 -62 -65
-66 -57 -61 -63
-61 -68 -63 -54
-68 -77 -71 -61
-67 -77 -71 -61
-57 -64 -60 -52
-61 -70 -64 -57
-60 -66 -58 -54
-63 -66 -57 -55
-64 -67 -58 -59
-65 -66 -56 -61
-64 -64 -52 -62
-63 -61 -53 -62
-64 -59 -56 -64
-63 -53 -57 -63
-65 -55 -60 -66
-66 -55 -61 -66
-67 -56 -62 -68
-62 -70 -64 -57
-69 -80 -73 -62
-69 -79 -72 -61
-61 -70 -63 -54
-63 -73 -66 -58
-61 -68 -60 -54
-62 -67 -59 -56
-64 -67 -59 -59
-66 -66 -58 -62
-65 -61 -54 -62
-64 -60 -56 -63
-65 -58 -58 -64
-66 -55 -60 -66
-67 -54 -62 -68
-67 -53 -63 -68
-67 -52 -64 -68
-61 -73 -66 -58
-70 -80 -73 -61
-69 -79 -72 -59
-63 -75 -67 -57
-63 -74 -67 -58
-61 -71 -62 -55
-61 -69 -59 -56
-64 -68 -60 -59
-66 -66 -59 -62
-65 -61 -57 -63
-67 -61 -59 -65
-66 -59 -60 -66
-67 -55 -61 -67
-68 -54 -63 -68
-69 -54 -66 -70
-69 -51 -67 -70
-62 -74 -67 -60
-69 -80 -73 -60
-69 -79 -72 -57
-61 -72 -65 -53
-63 -74 -67 -55
-60 -71 -63 -53
-61 -70 -61 -55
-63 -68 -61 -59
-66 -66 -59 -62
-66 -63 -57 -64
-67 -62 -58 -65
-66 -60 -59 -65
-65 -57 -60 -65
-67 -56 -62 -67
-68 -56 -65 -69
-69 -55 -67 -71
-60 -72 -66 -59
-62 -72 -66 -53
-62 -72 -65 -49
-61 -70 -64 -46
-61 -73 -66 -50
-57 -70 -61 -49
-56 -69 -61 -51
-61 -69 -60 -57
-65 -67 -58 -62
-67 -63 -56 -65
-65 -63 -56 -64
-64 -62 -56 -63
-63 -59 -56 -62
-65 -60 -60 -65
-66 -61 -63 -67
-68 -60 -65 -69
