-51 -65 -59 -55
-58 -73 -66 -62
-56 -72 -65 -62
-47 -62 -56 -54
-51 -65 -58 -57
-50 -60 -50 -54
-53 -58 -48 -54
-56 -59 -48 -57
-58 -59 -48 -58
-59 -58 -45 -58
-61 -58 -49 -60
-62 -57 -52 -62
-64 -55 -56 -63
-65 -55 -57 -63
-66 -56 -58 -63
-66 -54 -58 -62
-51 -65 -59 -55
-58 -73 -67 -62
-57 -73 -66 -61
-49 -63 -55 -53
-51 -66 -57 -57
-52 -61 -50 -54
-54 -60 -49 -54
-57 -60 -49 -57
-59 -60 -49 -58
-60 -57 -48 -57
-62 -56 -50 -59
-62 -54 -53 -60
-61 -52 -54 -61
-62 -53 -56 -62
-63 -53 -57 -62
-63 -53 -58 -62
-52 -64 -59 -55
-59 -74 -67 -61
-58 -73 -66 -61
-49 -64 -57 -52
-53 -66 -57 -56
-53 -61 -51 -53
-54 -60 -47 -54
-58 -61 -50 -56
-60 -60 -50 -57
-62 -57 -51 -56
-61 -55 -51 -58
-62 -53 -53 -60
-60 -48 -54 -59
-61 -51 -55 -62
-62 -51 -57 -62
-62 -52 -58 -63
-53 -65 -59 -55
-61 -74 -66 -61
-60 -73 -65 -59
-52 -63 -55 -50
-55 -63 -58 -54
-54 -62 -53 -51
-55 -61 -52 -52
-58 -61 -52 -53
-60 -60 -52 -55
-60 -57 -50 -55
-61 -55 -52 -57
-61 -53 -54 -59
-61 -50 -55 -60
-62 -49 -56 -62
-63 -49 -58 -63
-63 -48 -59 -63
-54 -65 -58 -54
-61 -73 -65 -59
-62 -72 -64 -57
-55 -63 -56 -50
-56 -67 -60 -50
-55 -62 -54 -48
-56 -62 -54 -48
-57 -62 -53 -52
-59 -61 -53 -53
-59 -57 -52 -53
-61 -56 -53 -57
-61 -54 -54 -59
-61 -50 -54 -62
-63 -48 -56 -63
-64 -48 -58 -64
-65 -45 -60 -64
-54 -64 -58 -53
-62 -72 -65 -57
-63 -72 -64 -54
-55 -63 -56 -46
-57 -66 -59 -48
-56 -62 -54 -47
-56 -61 -53 -48
-57 -62 -54 -52
-59 -61 -54 -54
-60 -58 -53 -54
-61 -57 -53 -57
-61 -54 -54 -59
-60 -51 -54 -60
-63 -49 -56 -63
-64 -49 -59 -64
-65 -49 -60 -65
-53 -63 -59 -51
-57 -65 -58 -48
-58 -65 -56 -45
-57 -62 -54 -41
-57 -63 -56 -46
-56 -62 -54 -45
-56 -61 -55 -48
-57 -61 -55 -52
-58 -60 -54 -55
-59 -58 -53 -57
-60 -57 -53 -57
-61 -55 -53 -58
-61 -52 -53 -59
-62 -53 -56 -62
-63 -53 -58 -65
-63 -53 -61 -66
